english,darija,darija_ar
A star,najm,ناجم 
A star,najma,ناجما 
I'm only doing this job until I get hired!,ana fa9aT kandir had lkhdma binma nDbbr 3la khdma,أنا فاقاط كاندير هاد لخدما بينما نضبّر علا خدما 
I'm a star!,ana najm,أنا ناجم 
You are deluded,nta ghi kaytflaw 3lik,نتا غي كايتفلاو عليك 
"Well, since you are here you will do as I say","wakha, bima anak 8na ghadi dir dakchi li kangol lik","واخا, بيما أناك هنا غادي دير داكشي لي كانڭول ليك "
You are here to work,nta hna bach tkhdem,نتا هنا باش تخدم 
All right!,wakha!,واخا! 
I'm going to work,ana ghadi lkhdma,أنا غادي لخدما 
I'm going to work,ana ghadi nkhdm,أنا غادي نخدم 
I'm going to work in Chanel and resign from this rotten food job!,ghadi nkhdm f Chanel oghadi nsta9l mn had lkhdma dyal lmakla lkhamja,غادي نخدم ف شانل أُغادي نستاقل من هاد لخدما ديال لماكلا لخامجا 
"Honestly, using garlic doesn't suit a person of my caliber!","Sra7a, stikhdam touma makaynsbch chi 7ed b7ali!","صراحا, ستيخدام توما ماكاينسبش شي حد بحالي! "
"Hello, can I get you something?",ahlan achno bghiti nakhod lik?,أهلان أشنو بغيتي ناخود ليك? 
"Hello, can I get you something?",ahlan njib lik chi haja?,أهلان نجيب ليك شي هاجا? 
"I've had a rubbish day, so something strong would be good!","dwzt nhar kizbel, chi 7ja 9as7a ghadi tkoun mzyana!","دوزت نهار كيزبل, شي حجا قاسحا غادي تكون مزيانا! "
Do you do cocktails here?,katsaweb koktilat 8na?,كاتساوب كوكتيلات هنا? 
"Yes, of course!",ah darori!,أه داروري! 
What kind of alcohol do you like?,achman nou3 dyal chrab katfdel?,أشمان نوع ديال شراب كاتفدل? 
"Something sweet, and something colourful would be nice!","chi 7aja 7lowa, ochi 7aja mlwwna ghadi tkoun mziana!","شي حاجا حلووا, أُشي حاجا ملوّنا غادي تكون مزيانا! "
I like it when there's sugar round the rim. Can you do that?,kay3jbni mli kaykoun sokar fl 7afa. t9der dirha?,كايعجبني ملي كايكون سوكار فل حافا. تقدر ديرها? 
But get something to eat with it,walakin khod chi 7aja taklha m3aha,والاكين خود شي حاجا تاكلها معاها 
Ok!,wakha,واخا 
I'm feeling a little peckish,kan7as bchwiya dyal jo3,كانحاس بشوييا ديال جوع 
What would you suggest?,ach kat9tar7?,أش كاتقتارح? 
Our fries are delicious,bTaTa ma9liya dyalna bnina,بطاطا ماقلييا ديالنا بنينا 
And of course they're homemade!,o Tab3an rah mgadda f dar!,أُ طابعان راه مڭادّا ف دار! 
I'll have some of those then,ghadi nakhod chwiya mn8om,غادي ناخود شوييا منهوم 
And I'll probably get a dessert later too,o n9dar nakhod disir mn ba3d 7ta howa,أُ نقدار ناخود ديسير من باعد حتا هووا 
Do you know who that rowdy group is over there?,wach 3rafti dik lmajmo3a Sakhiba lli l8i8,واش عرافتي ديك لماجموعا صاخيبا اللي لهيه 
Will they be here all night?,wach ghadi ib9aw 8na lil kaml?,واش غادي إبقاو هنا ليل كامل? 
It's a rugby team that celebrates its victory,rah fari9 dyal rigbi kay7taflo brba7 dyalhom,راه فاريق ديال ريڭبي كايحتافلو برباح ديالهوم 
It's likely they're staying late,mo7tamal yab9aw m3TTlin,موحتامال يابقاو معطّلين 
"They're very noisy, but very nice",fihom Sda3 bzaf walakin lay3mmr8a dar,فيهوم صداع بزاف والاكين لايعمّرها دار 
this guy is very nice,had khona lay3mmrha dar,هاد خونا لايعمّرها دار 
They'll change your mind,ghadi ibddlo lik ra2yk,غادي إبدّلو ليك راإيك 
"Hmm, I'm not sure about that","hmm, mamta2akdch mn hadchi","همّ, مامتاأكدش من هادشي "
"Hmm, I'm not sure about that","hmm, mo7al","همّ, موحال "
But maybe they'll be up for a bit of karaoke later,walakin y9adro ykono masta3din lchi Karaoke mn ba3d,والاكين يقادرو يكونو ماستاعدين لشي كاراوك من باعد 
I think so,kanDn hadchi,كانضن هادشي 
I think so,hadchi li kaybalia,هادشي لي كايباليا 
"After a few drinks, they'll probably be ready for karaoke!","mora chwiya dyal lmachrobat, mn lmo7tamal ykono jahzin l karaoke","مورا شوييا ديال لماشروبات, من لموحتامال يكونو جاهزين ل كاراوك "
Do you ever have a go at karaoke too?,wach 3amrak drti l karaoke tanta?,واش عامراك درتي ل كاراوك تانتا? 
Is it allowed?,wach hadchi masmo7 bih?,واش هادشي ماسموح بيه? 
"Yeah, we do that a lot","ah, 7na kandiroha bzaf","أه, حنا كانديروها بزاف "
It always puts a good atmosphere,dima kayzid jaw zwin,ديما كايزيد جاو زوين 
But we start a little later in the evening,walakin kanbdaw chwiya m3TTlin fl3chiya,والاكين كانبداو شوييا معطّلين فلعشييا 
Probably around 9:00,t9riban jwayh 9:00,تقريبان جوايه ق:00 
I've got enough time to choose my song then!,3andi maykfi mn lwa9t bach nakhtar oghniya dyali,عاندي مايكفي من لواقت باش ناختار أُغنييا ديالي 
"Although I warn you, I'm not a very good singer","wakha ana kan7adrak, ana rah machi moghani wa3r","واخا أنا كانحادراك, أنا راه ماشي موغاني واعر "
I could empty this cup in seconds probably!,n9dar nakhwi had lkas f tawani ghaliban!,نقدار ناخوي هاد لكاس ف تاواني غاليبان! 
"Good evening, miss",masa2 lkhir anisa,ماساء لخير أنيسا 
What kind of gin do you have?,achmn naw3 dyal gin 3andak?,أشمن ناوع ديال ڭين عانداك? 
"Oh, sorry",oh sma7 liya,أُه سماح لييا 
"There's not much light, and from the back, your long hair misled me","makaynch bzaf dyal ddo, o mn lor, cha3rak twil gyydni","ماكاينش بزاف ديال الدو, أُ من لور, شاعراك تويل ڭيّدني "
"Anyway, what kind of gin do you have?","3la kol 7al, achmn naw3 dyal gin 3ndak","علا كول حال, أشمن ناوع ديال ڭين عنداك "
We have Gordon's gin only,3ndna ghir Gordon gin safi,عندنا غير ڭوردون ڭين سافي 
That's it?,hada howa?,هادا هووا? 
That's it?,hadchi li kayn?,هادشي لي كاين? 
All others are sold out,ga3 lkhrin tba3o,ڭاع لخرين تباعو 
another time,mrra khra,مرّا خرا 
"Get me tea, please",jib liya atay 3afak,جيب لييا أتاي عافاك 
Are you new here?,wach nta jdid 8na?,واش نتا جديد هنا? 
"Yes, this is my first day in this job","ah, hada awal nhar liya fhad lkhdma","أه, هادا أوال نهار لييا فهاد لخدما "
I'll get you your food,ghadi njib lik lmakla dyalk,غادي نجيب ليك لماكلا ديالك 
And what do you do otherwise?,o achno kadir mn ghir hadchi?,أُ أشنو كادير من غير هادشي? 
Are you a student?,wach nta Talib?,واش نتا طاليب? 
I am a philosopher,ana faylasouf,أنا فايلاسوف 
I need this bar tender job to help me pay my rent,ana m7taj had lkhdma t barman bach t3awnni nkhlls lkra,أنا محتاج هاد لخدما ت بارمان باش تعاونّي نخلّس لكرا 
This is exciting!,hadchi mo7ammis,هادشي موحامّيس 
What's your specialty in philosophy?,achnahowa takhasos dyalk fl falsafa?,أشناهووا تاخاسوس ديالك فل فالسافا? 
I am an existentialist,ana wojodi,أنا ووجودي 
but there no paid vacancies for this,walakin makaynin 7ta 3oTal mkhllSa fhadchi,والاكين ماكاينين حتا عوطال مخلّصا فهادشي 
so I live in a small hut in the forest with my books,hadchi 3lach kan3ich f kokh sghir flghaba m3a ktobi,هادشي علاش كانعيش ف كوخ سغير فلغابا معا كتوبي 
and work here to pay my rent,o kankhdam 8na bach nkhlls lkra dyali,أُ كانخدام هنا باش نخلّس لكرا ديالي 
I myself studied a bit of philosophy many years ago,rah tana brasi 9rit chwiya dyal lflsafa sinin hadi,راه تانا براسي قريت شوييا ديال لفلسافا سينين هادي 
But I was more interested in questions linked to consciousness,walakin knt m8tam kter bl2asi2ila lmrtabTa blwa3y,والاكين كنت مهتام كتر بلأسيإلا لمرتابطا بلواعي 
"But you can't study everything, can you?","walakin maymknch lik t9ra kolchi, kayna?","والاكين مايمكنش ليك تقرا كولشي, كاينا? "
I greatly respect the view of Sartre,ana kan7tarm bzaf ra2y Satre,أنا كانحتارم بزاف راإي صاتر 
However I've come to the conclusion,wakha hakkak ana wSlt l wahd nnatija,واخا هاكّاك أنا وصلت ل واهد الناتيجا 
like many before me,b7al bzaf 9bel mnni,بحال بزاف قبل منّي 
that is life's final discovery,hada hoa lktichaf lkher dyal l7ayat,هادا هوا لكتيشاف لخر ديال لحايات 
inconsistency is part of the human condition,3adam tanaso9 howa joz2 mn l7ala lbachariya,عادام تاناسوق هووا جوزء من لحالا لباشارييا 
"Maybe, I'll have a gin as well!","imkn, ghadi nakhod gin tahowa","إمكن, غادي ناخود ڭين تاهووا "
What do you mean by X?,achno kat9sad b X?,أشنو كاتقساد ب ش? 
I think a cup of tea would cheer me up,kanDn chi kwiyes t atay ghadi ychaja3ni,كانضن شي كوييس ت أتاي غادي يشاجاعني 
it would make me feel happier,ghadi ykhalini n7as bsa3ada,غادي يخاليني نحاس بساعادا 
"Please, I'll give it to you","3afak, ghadi na3tih lik","عافاك, غادي ناعتيه ليك "
And get me an apple,o jib lia chi tffa7a,أُ جيب ليا شي تفّاحا 
I already finished mine,rah salit dyali,راه ساليت ديالي 
So you studied Sartre?,idan nta 9riti Sartre,إدان نتا قريتي صارتر 
did you want a sandwich?,wach bghiti chi sandwich?,واش بغيتي شي ساندويش? 
"Yeah, I guess so",ah kanDn,أه كانضن 
What have you got?,ach 3andak?,أش عانداك? 
What have you got?,ach khditi?,أش خديتي? 
What have you got?,ach chdditi?,أش شدّيتي? 
a mixture of any of these,khaliT mn ay haja mn hado,خاليط من أي هاجا من هادو 
"Put it all in, it'll be perfect","7at kolchi fih, ghadi ykon mitali","حات كولشي فيه, غادي يكون ميتالي "
Do you work here every day?,wach katkhdam 8na kol nhar,واش كاتخدام هنا كول نهار 
Do you work here every day?,wach katkhdem 8na yawmiyan,واش كاتخدم هنا ياومييان 
I only work here to provide enough money for food and rent,ana kankhdam 8na hir bach njm3 flos lmakla o lkra,أنا كانخدام هنا هير باش نجمع فلوس لماكلا أُ لكرا 
then I disappear into the forest to consider existence,o mn ba3d kankhtafi flghaba bach nfakar f lwojod,أُ من باعد كانختافي فلغابا باش نفاكار ف لووجود 
The bar owner is very kind,mol lbar drayaf bzaf,مول لبار دراياف بزاف 
The bar is about to close,lbar 9rib itsedd,لبار قريب إتسدّ 
Good night,msa2 lkhir,مساء لخير 
"Good night, and thank you for this evening!",lila sa3ida o chokran 3la had l3chiya,ليلا ساعيدا أُ شوكران علا هاد لعشييا 
Mon plaisir,ta7iyati,تاحيياتي 
I'm bored,ana kan7as blmalal,أنا كانحاس بلمالال 
What are we gonna do?,achno ghadi ndiro,أشنو غادي نديرو 
What are we gonna do?,ach ghandiro,أش غانديرو 
You can't be bored,maymknch lik t7as blmalal,مايمكنش ليك تحاس بلمالال 
Look at the beautiful view,chof lmandar zwin,شوف لماندار زوين 
There are some beautiful people to look at too,kaynin 7ta chi nas zwinin fach tchof,كاينين حتا شي ناس زوينين فاش تشوف 
I've been watching people around the pool for two days,knt kanchof nas 7da lmasba7 lmoda dyal yawmayn,كنت كانشوف ناس حدا لماسباح لمودا ديال ياوماين 
I've been watching people around the pool for two days,yomayn wana kanchof nas 7da la piscine,يوماين وانا كانشوف ناس حدا لا پيسسين 
And there's no big world of interest,o makaynach 3alam kbir mn l2ihtimam,أُ ماكايناش عالام كبير من لإهتيمام 
"Well, go and talk to someone then","wakha, ewa sir 8Dar m3a chi 7d","واخا, إوا سير هضار معا شي حد "
or join in the the water exercise,olla chark f tamrin lma2i,أُلّا شارك ف تامرين لماإ 
Have you met anyone?,wach tla9iti m3a chi 7ad?,واش تلاقيتي معا شي حاد? 
Have you met anyone?,wach tla9iti chi wa7d?,واش تلاقيتي شي واحد? 
I think there will be bingo soon,kanDn ghadi tkon lo3ba dyal bingo 9rib,كانضن غادي تكون لوعبا ديال بينڭو قريب 
"Great, a bingo","3aDim, lo3ba dyal bingo","عاضيم, لوعبا ديال بينڭو "
I hope there's a chicken to win,kantmana tkon chi djaja lrba7,كانتمانا تكون شي دجاجا لرباح 
You might want a few drinks or something,ta9dar tabghi chi machrobat wla chi 7aja,تاقدار تابغي شي ماشروبات ولا شي حاجا 
I think it's funny,kanDn bila moD7ik,كانضن بيلا موضحيك 
it reminds me of the village party,"'kayfakrni bl7afla dyal l9arya""","'كايفاكرني بلحافلا ديال لقاريا"" "
"Oh, yes, I would","oh, ah, ghadi ndirha","أُه, أه, غادي نديرها "
Leave me in peace,khalini 3lik,خاليني عليك 
Leave me in peace,fotni 3lik,فوتني عليك 
You know how hard I usually work,nta 3arf kikankhDm,نتا عارف كيكانخضم 
"No, but it's too late now that you've offered it","la, walakin fat l7al daba mora ma3radtha","لا, والاكين فات لحال دابا مورا ماعرادتها "
I'm ordering cocktails,ana ghanTlb coctailat,أنا غانطلب كوكتايلات 
"Forget your work, you've had enough sleep","nsa khdamtak, rah khditi n3as kafi","نسا خدامتاك, راه خديتي نعاس كافي "
you've had enough sleep,rak n3sti bima fih lkifaya,راك نعستي بيما فيه لكيفايا 
Mojito for me please,mojito liya 3afak,موجيتو لييا عافاك 
I am definitely forgetting work,ana bta2kid kansa lkhadma,أنا بتاءكيد كانسا لخادما 
You have to change your mind,khasak tbadal 39lytek,خاساك تبادال عقليتك 
the holidays are for that, l3oTal rah dyal hadchi,لعوطال راه ديال هادشي 
"Come on, get up, you're not drinking lying down","aji, nod, maghatchrabch onta mtekki","أجي, نود, ماغاتشرابش أُنتا متكّي "
We've got to get to the bar,khaskom tmchiw lbar,خاسكوم تمشيو لبار 
Cool,ra2i3,راإع 
The mojito has arrived,mojito wSal,موجيتو وصال 
I got some orange juice,3andi 3aSir limon,عاندي عاصير ليمون 
I'm thinking,ana kanfakar,أنا كانفاكار 
Reasonable,m39ol,معقول 
Shall we see what is on the activity programme,wach nchofo achno mojod f barnamaj nachaT,واش نشوفو أشنو موجود ف بارناماج ناشاط 
maybe some archery or silly dancing,imkn chwiya dyal rimaya o chti7 mbr8ch,إمكن شوييا ديال ريمايا أُ شتيح مبرهش 
We could finish our drinks and investigate,n9adro nsaliw machrob dyalna o nbdaw n7a9e9o,نقادرو نساليو ماشروب ديالنا أُ نبداو نحاققو 
Let's go investigate,khlina nmchiw n7a9e9o,خلينا نمشيو نحاققو 
I hope you were able to rest,kantmana tkon 9adr 3la ra7a,كانتمانا تكون قادر علا راحا 
I hope you were able to rest,kantmana tkon 9adr trta7,كانتمانا تكون قادر ترتاح 
See you next time,nchofak lmara jaya,نشوفاك لمارا جايا 
See you next time,nchofok lmrra jjaya,نشوفوك لمرّا الجايا 
"Oh no, I think we're lost and it's starting to get dark","oh, kanDn twaDarna o bda Dlam","أُه, كانضن تواضارنا أُ بدا ضلام "
it's starting to get dark,bda kayTi7 Dlam,بدا كايطيح ضلام 
Can you get a GPS signal on your phone to find out where we are?,wach t9dar tl9a ichara dyal GPS 3la tifon dyalk bach n3rfo fin 7na,واش تقدار تلقا إشارا ديال ڭپص علا تيفون ديالك باش نعرفو فين حنا 
where are we,fin 7na,فين حنا 
"I'm out of drums, unfortunately!",salat liya charge lil2asaf,سالات لييا شارڭ ليلأساف 
My phone is completely dead too,tilifoni Tfa ta8owa,تيليفوني طفا تاهووا 
Did you remember to bring the map?,wach tfakarti tjib lkhariTa?,واش تفاكارتي تجيب لخاريطا? 
"I don't have the card, I lost it earlier","ma3ndich biTa9a, rah twadrat liya mn 9bel","ماعنديش بيطاقا, راه توادرات لييا من قبل "
We could camp here for the night and hope we can find our way in the morning when it's light,n9adro nkhaymo 8na lil kaml o kantmnaw nl9aw Tri9na f sbah mnin ykon DDo,نقادرو نخايمو هنا ليل كامل أُ كانتمناو نلقاو طريقنا ف سباه منين يكون الضو 
"Yeah, that's a good idea, but we don't have a tent","ah fikra mzyana, walakin ma3ndnach khima","أه فيكرا مزيانا, والاكين ماعندناش خيما "
Did you see a place to shelter nearby?,wach chafti blaSa fin ntkhbbaw 9riba?,واش شافتي بلاصا فين نتخبّاو قريبا? 
I think we're just going to have to build it,kanDn bila khasna fa9aT nbniw8a,كانضن بيلا خاسنا فاقاط نبنيوها 
we hope there are no wild animals in the forest,kantmanaw mtkonch 7ayawanat bariya f lghaba,كانتماناو متكونش حاياوانات بارييا ف لغابا 
Did you ever learn to make a fire with a flint?,wach 3mmrek t3alamti tcha3al l3afya b sowan?,واش عمّرك تعالامتي تشاعال لعافيا ب سووان? 
"Yes, let's hope so","ah, khlina n2amlo hadchi","أه, خلينا نأملو هادشي "
Do you have any sugar?,3andak chi skkar?,عانداك شي سكّار? 
"No, I'm afraid not",la la m3ndich,لا لا معنديش 
Can you hear that noise?,wach ta9dar tasma3 had Sda3?,واش تاقدار تاسماع هاد صداع? 
It's a bit scary,rah mokhif chwiya,راه موخيف شوييا 
I hope it's someone who has come to rescue us!,kantmana ykon chi 7add lija y3ta9na,كانتمانا يكون شي حادّ ليجا يعتاقنا 
Wolf howl?,3iwa2 di2b?,عيواء ديءب? 
Maybe,momkin,مومكين 
I'm afraid I've seen a wolf or a big stray dog before,ana khayf chaft di2b wla kalb kbir mn 9bal,أنا خايف شافت ديءب ولا كالب كبير من قبال 
I have three boxes of matches in my left pocket,3andi tlata tlbwaTat t lou9id fjibi lisr,عاندي تلاتا تلبواطات ت لوقيد فجيبي ليسر 
That's a bit of good news about the matches,hadi chwiya dyal lkhbarat zwina 3la lou9id,هادي شوييا ديال لخبارات زوينا علا لوقيد 
Animals don't like fire,l7ayawanat makatbghich l3afya,لحاياوانات ماكاتبغيش لعافيا 
I can give them,n9dr n3Tihom,نقدر نعطيهوم 
they are too close,homa 9rab bzaf,هوما قراب بزاف 
Have you got anything to give them?,wach 3andak chi 7aja ta3tiha lihom?,واش عانداك شي حاجا تاعتيها ليهوم? 
I'm gonna make a fire to get them away,ghadi ncha3al l3afya bach nba3adhom,غادي نشاعال لعافيا باش نباعادهوم 
Would you like some tea or coffee?,wach bghiti chwiya dyal atay wla l9ahwa?,واش بغيتي شوييا ديال أتاي ولا لقاهوا? 
I got some hot water left in my thermos,rah khlit chwiya dyal lma skhon f termos,راه خليت شوييا ديال لما سخون ف ترموس 
"Yes please, that would be great","ayeh 3afak, ghadi ykon hadchi zwin","أيه عافاك, غادي يكون هادشي زوين "
I've got some chocolate biscuits left too,3andi 7ta chwiya dyal biskwit dyal choklat ba9i,عاندي حتا شوييا ديال بيسكويت ديال شوكلات باقي 
although they've melted a bit in the heat,wakha rah dab chwiya f l7arara,واخا راه داب شوييا ف لحارارا 
Light the fire quick!,cha3al l3afya bzarba,شاعال لعافيا بزاربا 
My matches are all wet,ga3 lou9id sard lil2asaf,ڭاع لوقيد سارد ليلأساف 
My matches are all wet,ga3 lou9id fazg lil2asaf,ڭاع لوقيد فازڭ ليلأساف 
I hear voices nearby,kansma3 aswat 7dana,كانسماع أسوات حدانا 
What a relief!,wa 3la ra7a,وا علا راحا 
What a relief!,lah 3la ra7a,الله علا راحا 
I didn't want to die here!,makntch bghit nmot hna,ماكنتش بغيت نموت هنا 
I don't want to die here!,mabghitch nmot hna,مابغيتش نموت هنا 
Want to play a game?,bghiti tl3ab chi lo3ba,بغيتي تلعاب شي لوعبا 
"Not at the moment, I'm enjoying the sun and relaxing","machi fhad lwa9t, ana kanstamta3 bchamch o kantarkha","ماشي فهاد لواقت, أنا كانستامتاع بشامش أُ كانتارخا "
Not at the moment,machi daba,ماشي دابا 
Not at the moment,machi droka,ماشي دروكا 
Maybe later,yaqdar fwa9t akhor,ياقدار فواقت أخور 
later,mn ba3d,من باعد 
You're not gonna stand there and do nothing!,maghadich tb9a wa9af tmma o makadir walo,ماغاديش تبقا واقاف تمّا أُ ماكادير والو 
I'm too hot to do anything at the moment,ana skhon bzaf bach ndir chi 7aja fhad lwa9t,أنا سخون بزاف باش ندير شي حاجا فهاد لواقت 
Can you get me a nice cold drink with some ice please,wach t9dr tjib liya machrob bard m3a chwiya dyal talj 3afak,واش تقدر تجيب لييا ماشروب بارد معا شوييا ديال تالج عافاك 
"It's okay that you're warm, you're in the sun","machi mochkil tkon skhon, rak kayn f chamch","ماشي موشكيل تكون سخون, راك كاين ف شامش "
"Okay, I'll get you your drink",wakha ghadi njib lik chrabk,واخا غادي نجيب ليك شرابك 
You want some water?,bghiti chwiya dyal lma?,بغيتي شوييا ديال لما? 
I was thinking of something a bit more exciting,knt kanfakar fchi 7aja aktar itara,كنت كانفاكار فشي حاجا أكتار إتارا 
you shouldn't drink in the sun,makhsskch tchrab fchamch,ماخسّكش تشراب فشامش 
Why?,3lach?,علاش? 
Is it bad for me?,wach hadchi khayb liya?,واش هادشي خايب لييا? 
You might get drunk faster,ta9dar tskr bzarba,تاقدار تسكر بزاربا 
it might even be dangerous to go in the pool!,ya9dar ykon khaTir tchmi lmasba7,ياقدار يكون خاطير تشمي لماسباح 
I've not heard of that before,masma3t bhadchi mn 9bal,ماسماعت بهادشي من قبال 
Perhaps I should eat something as well,imkn khasni nakol chi 7aja ta8ia,إمكن خاسني ناكول شي حاجا تاهيا 
Did you notice any food available at the bar?,wach chafti chi makla kayna f lbar?,واش شافتي شي ماكلا كاينا ف لبار? 
"Yeah, I think there's some sandwiches","ah, kanDn kayn chi sandwichat","أه, كانضن كاين شي ساندويشات "
I'll do a deal,ghadi ndir Saf9a,غادي ندير صافقا 
"If you get me a sandwich, I'll play a game after","ila jabti liya sandwich, ghadi nl3ab m3ak lo3ba mn b3d","إلا جابتي لييا ساندويش, غادي نلعاب معاك لوعبا من بعد "
All right!,wakha!,واخا! 
All right!,mchat!,مشات! 
All right!,Sla 3la nnbi!,صلا علا النبي! 
All right!,wa 3ayalh!,وا عاياله! 
Here's your sandwich!,hahoa sandwich dyalk,هاهوا ساندويش ديالك 
Didn't you get something for yourself,wach makhditich lik chi 7aja,واش ماخديتيش ليك شي حاجا 
you must be hungry?,ghatkon ji3an?,غاتكون جيعان? 
you must be hungry?,ghaykon fik jou3?,غايكون فيك جوع? 
"While I was making your sandwich, I got one, too","o ana kan9ad sandwich, khdit wa7d ta ana","أُ أنا كانقاد ساندويش, خديت واحد تا أنا "
Nice of you to ask,zwina mnk tsawal,زوينا منك تساوال 
thanks for asking,chokran mlli sowelti,شوكران ملّي سوولتي 
Shall we play badminton or tennis?,wach nl3bo korat richa wla tinis,واش نلعبو كورات ريشا ولا تينيس 
It's my favorite sport,hia riyada lmofaDala dyali,هيا رييادا لموفاضالا ديالي 
Sounds like you are good,kayban liya nta mazyan,كايبان لييا نتا مازيان 
I'll get the racquets,ghadi njib lmaDarib,غادي نجيب لماضاريب 
I'll get the racquets,ghadi njib rakitat,غادي نجيب راكيتات 
I've had a terrible day,rah dwzt nhar S3ib,راه دوزت نهار صعيب 
Hope the cat isn't around or I will kick it,kantmana matkonch lmcha tmma wla ghadi ndrabha,كانتمانا ماتكونش لمشا تمّا ولا غادي ندرابها 
Horrible?,ra8ib?,راهيب? 
But that's no reason to take it out on our cat!,walakin hada machi sabab bach nsbboha f lmcha dyalna,والاكين هادا ماشي ساباب باش نسبّوها ف لمشا ديالنا 
First the train was late so when it came it was full and there were no seats left,"awalan, t3atal tran, o mnin wsal kan 3amar o makanoch blays khawyin","أوالان, تعاتال تران, أُ منين وسال كان عامار أُ ماكانوش بلايس خاويين "
Then when I apologised for being late I realised I had left my papers at home,"o mnin 3tadart 3la ta3tal dyali, tfakart khlit wra9i fdar","أُ منين عتادارت علا تاعتال ديالي, تفاكارت خليت وراقي فدار "
Keep the cat out of the way!,ba3d lmacha mn Tri9,باعد لماشا من طريق 
I see,kanchof,كانشوف 
Then I realised I had got your glasses and not mine,mn ba3d 3raft bila khdit nDaDrk o machi nDaDri,من باعد عرافت بيلا خديت نضاضرك أُ ماشي نضاضري 
Hope you weren't too annoyed by that,kantmana matkonch m9ala9 mn hadchi,كانتمانا ماتكونش مقالاق من هادشي 
Have you been able to participate in the meeting anyway?,wach 9darti tchark b3da f ijtima3?,واش قدارتي تشارك بعدا ف إجتيماع? 
"Oh, yeah, I saw about the glasses","oh, ah rah chaft nDaDr","أُه, أه راه شافت نضاضر "
but I didn't have to drive,walakin makanch 3liya nsog,والاكين ماكانش علييا نسوڭ 
so that didn't embarrass me too much,dakchi 3lach ma7rajnich dakchi bzaf,داكشي علاش ماحراجنيش داكشي بزاف 
Someone said I was better than usual but I think they were just poking fun at me,galiya chi 7ad bila knt 7san mn 9bal walakin kanDn kano kayda7ko 3liya,ڭالييا شي حاد بيلا كنت حسان من قبال والاكين كانضن كانو كايداحكو علييا 
You think they made fun of you?,wach kadan bila kano kayD7ko 3lik?,واش كادان بيلا كانو كايضحكو عليك? 
It's not certain!,hadchi machi m2akad,هادشي ماشي مأكاد 
"And, as you know very well, you had to be perfect!",o 7ta nta kat3raf bila khasak tkon mitali,أُ حتا نتا كاتعراف بيلا خاساك تكون ميتالي 
"No, maybe I'm just paranoid","la, imkn hir ana mr3oud","لا, إمكن هير أنا مرعود "
But when we got in the lift my boss started to tell me this story,"walakin mnin rkabna lmas3ad, bda ra2is dyali kay3awad liya dik l9iSSa","والاكين منين ركابنا لماسعاد, بدا راإس ديالي كايعاواد لييا ديك لقيصّا "
then the lift broke down between floors,mn ba3d khsar lmas3ad bin tawabi9,من باعد خسار لماسعاد بين تاوابيق 
And then the lift broke down between floors,o mn b3d khsar sansour bin liTajat,أُ من بعد خسار سانسور بين ليطاجات 
I was stuck in the lift with my boss!,w7alt flmas3ad m3a ra2is dyali,وحالت فلماسعاد معا راإس ديالي 
Now your're making fun of me,nta daba kadhak 3liya,نتا دابا كادهاك علييا 
"Well, I think you've had a really bad day, and you're mostly in a bad mood","wakha, kanDn bila dawzti nhar khayb, onta ghaliban f mazaj khayb","واخا, كانضن بيلا داوزتي نهار خايب, أُنتا غاليبان ف مازاج خايب "
While the lift was stopped he said we should use the time doing my appraisal!,"mnin w9af lmas3ad, galiya bila khasna nstaghllo lwa9t f ta9yim dyali","منين وقاف لماسعاد, ڭالييا بيلا خاسنا نستاغلّو لواقت ف تاقييم ديالي "
I'm always in a bad mood,ana dima fmizaj khayb,أنا ديما فميزاج خايب 
I'm always in a bad mood,ana dima Tal3a lia l9rda,أنا ديما طالعا ليا لقردا 
"Sorry, I haven't asked how your day was?",sma7 liya masawltkch kidaz nhark?,سماح لييا ماساولتكش كيداز نهارك? 
you're not always in a bad mood,nta machi dima fmizaj khayb,نتا ماشي ديما فميزاج خايب 
"but tonight, you definitely are!","walakin had llila, bta2kid","والاكين هاد الليلا, بتاءكيد "
At the same time,fnafs lwa9t,فنافس لواقت 
"after the day you've passed, that makes sense","mora lyoum lidawzti, hadchi Tabi3i","مورا ليوم ليداوزتي, هادشي طابيعي "
I had a good day,daz 3andi lyoum mazyan,داز عاندي ليوم مازيان 
I had a good day,lyoum daz mazyan,ليوم داز مازيان 
That's probably why I see things more serene,ghaliban hadchi 3lach kanchof l7wayj b8odo2,غاليبان هادشي علاش كانشوف لحوايج بهودوء 
"I would go for a lie down to calm down a bit, but I see the cat is on the stairs",knt ghadi ntaka bach nthadan chwiya walakin knchof lmcha f droj,كنت غادي نتاكا باش نتهادان شوييا والاكين كنشوف لمشا ف دروج 
Have you left any wine or have you finished the bottle?,wach khliti chwiya dyal nabid wla kmmlti l9ar3a?,واش خليتي شوييا ديال نابيد ولا كمّلتي لقارعا? 
leave that poor cat alone,khali dik lmacha maskina,خالي ديك لماشا ماسكينا 
leave that poor cat alone,fout 3lik dik lmcha mskina,فوت عليك ديك لمشا مسكينا 
take a glass of wine,khod kas dyal nabid,خود كاس ديال نابيد 
Thanks I will have a big glass and try to forget about the day,"chokran, ghadi nakhod kas kbir o n7awal nsa lyoum","شوكران, غادي ناخود كاس كبير أُ نحاوال نسا ليوم "
