"english","darija"
"In the meantime, we could talk about our future plans.",""
"What do you think?",""
"Thank goodness for that!",""
"Where will you go when we finally get out of here?",""
"I have precisely the plans I have to show you tomorrow.",""
"Do you wish to see them?",""
"After the elevator, I have to go to my office to print new cards.",""
"What about you, boss?",""
"I have my very important meeting to attend if they can rescue us soon!",""
"I hear people outside!",""
"Yes, deliverance should be here any minute.",""
"Who are you receiving?",""
"What do you mean?",""
"This afternoon, who do you have an appointment with?",""
"I am meetin with the chairman.",""
"I think he wants to talk about my promotion.",""
"Great!",""
"Good date.",""
"We're blocked.",""
"And I was supposed to go to an important meeting!",""
"At least that means that somebody might wonder where you are and come looking",""
"This liftoften breaks and the alarm bell does not work",""
"Hopefully, we'll soon find out there's something unusual going on.",""
"And yourself, what department do you work for?",""
"I work in the trading department, mostly for crude oil",""
"Ocassionally we will trade products too",""
"You make the market for what kind of oil.",""
"And why do you want to exchange our products?",""
"You have to sell them instead!",""
"I meant crude oil products, gasoline, lpg",""
"Also when we have surplus we will sell to someone else directly or exchange for a more timely delivery",""
"It is a strange business",""
"I am started GN to get claustrophobic",""
"Sorry I am starting to get claustrophobic",""
"It's normal to have a little stress in a volume as small as the elevator.",""
"Take a deep breath and you'll feel better.",""
"The paramedics will be here any minute.",""
"I hope so, it is getting worse",""
"I was stuck in a lift for four hours when I was a child",""
"Oh, yes, I understand.",""
"Childhood memories always remain in memory, especially if they're unpleasant!",""
"I am starting to sweat as I remember",""
"I hope they won't be long finding us",""
"Last time I was on my own",""
"My parents just thought I had gone off in a strop",""
"Living this kind of experience alone, especially child, is not very pleasant.",""
"But I hear noises.",""
"Courage, help is coming!",""
"Thank goodness.",""
"Hey, Caroline, don't you get bored a bit here?",""
"I'm ok actually.",""
"I'm just enjoying the beautiful weather and the calm breeze.",""
"What else could you ask for?",""
"I'd like to go for a walk for a change.",""
"But aren't you tired?",""
"We had a huge lunch...",""
"Exactly, the boardwalk's good for the digestion!",""
"I find that sleeping can be quite efficient too!",""
"Why are you so keen to go for a walk?",""
"Doing laps in a small pool, that's not very original.",""
"While there's a little forest road right next to it.",""
"I wouldn't mind if you brought me back something cool to drink.",""
"But I quite like being here thanks.",""
"It's too shady in the forest for my liking.",""
"Then I'll leave you and I'll meet you at the end of the afternoon.",""
"Hi!",""
"Wait!",""
"Will you get me something from the shop round the corner?",""
"Pretty please!",""
"Oh, hello, Leontine, how are you?",""
"You look well!",""
"Hello Alice.",""
"Thank you for coming to see me.",""
"I am doing well other than my sore back.",""
"Please, it's always nice to see you, you know.",""
"Bad back!",""
"I read that it's bad for the century, but I wish it didn't last a century!",""
"That's very kind.",""
"How was your journey?",""
"No sweat.",""
"Are you still okay here?",""
"I hope it settles soon as it keeps me awake sometimes.",""
"I am quite happy here and the staff are friendly but Sometimes I don't like the food.",""
"I understand your back and I'm sorry!",""
"I hope it calms down quickly.",""
"The staff seems very pleasant indeed.",""
"I saw your brother yesterday!",""
"AS long as I keep moving it should get better.Thank you.",""
"Oh where did you see my brother?",""
"We met on the street, it was fun!",""
"He was talking to a friend while walking his dog.",""
"Did he give you any messages for me?",""
"He asked me to say hello and tell you he'll be by Tuesday if he can.",""
"That's good news .",""
"I really look forward to his visits.",""
"How far do you live from him?",""
"Yes.",""
"He must have been near his friend's house.",""
"I didn't ask him for details, you know how your brother likes to be discreet about his life.",""
"THe last he came to visit he brought me some delicious chocolates.",""
"I am looking forward to hearing about his trip to France.",""
"Good evening.",""
"What would you like?",""
"I'll have a caipirinha.",""
"With a few olives and sausage rings if possible.",""
"Certainly, sir.",""
"One caipirinha coming up.",""
"Here you are, and your olives, but I'm sorry we don't have any sausage rings.",""
"You don't have a sausage?",""
"It's okay.",""
"I'm surprised you know the caipirinha.",""
"This is not a very common aperitif in Europe.",""
"Where did you learn to do that?",""
"I have been a bartender for a few years and I've worked in a lot of different places.",""
"I also did some training while working in a famous bar in London.",""
"Awesome!",""
"It's a hell of a experience.",""
"Which country did you go to?",""
"What's your favorite aperitif?",""
"I've spent time in France, Germany and South America.",""
"I don't have a favourite aperitif myself - I don't drink much at all, really only at special occasions where I like a glass of champagne.",""
"Yes, a glass of champagne is always, everywhere, an excellent aperitif.",""
"You've traveled a lot!",""
"Which country did you enjoy the most?",""
"South America was really interesting, different from home.",""
"I did some travelling and there was so much to see.",""
"Yes, a lot to see in South America.",""
"Have you been able to go to Argentina, or see the ruins?",""
"Which ruins?",""
"There were a few.",""
"I hope you still could have gone to Machu Picchu.",""
"You bring back memories of these South American countries?",""
"So you've been there yourself?",""
"I sure.",""
"And in Mexico City.",""
"I brought in some very beautiful stones.",""
"Are you interested in mineralogy?",""
"I've met some gold-diggers in my time, but other than that, it's not something I know anything about.",""
"Good evening.",""
"So how was your day?",""
"My day SUCKED.",""
"How was yours?",""
"Mine was fine.",""
"As scheduled.",""
"But you had a difficult meeting in perspective...",""
"The main problem was that I couldn't find a place to eat.",""
"I was starved, and you know how hangry I get... I walked around for, like, an hour.",""
"One place after the other was closed, closed, CLOSED.",""
"But, tell me about your day.",""
"Being a little hangry is not like starving to death in Syria... We have to be aware of what the REAL problems are--and aren't.",""
"You mean after your meeting, you tried to isolate yourself to eat but couldn't find a quiet room?",""
"Bad luck.",""
"I know when you need calm, you really need to calm down!",""
"True, true.",""
"How was YOUR day?",""
"My day has been quiet.",""
"A good productive meeting this morning and this afternoon I was able to finish my report.",""
"Have you managed to calm down for lunch?",""
"Other than that, my day was actually pretty good... I spent most of the day writing something that I wanted to work on.",""
"Ah.",""
"That's good.",""
"And what did you write about?",""
"Lunch was fine.",""
"I had a bowl of chirashi--yum!",""
"I wrote about ... hm, what did I write about--I'm getting too old to remember ANYTHING... I wrote about the kinds of information that needs to be recorded in order to repeat and to interpret an experiment.",""
"How about you--what was your meeting about, and what was your report about?",""
"Who was at the meeting, and did everyone behave themselves?",""
"What's a bowl of chirashi-yum?",""
"I've never had it.",""
"The meeting was pretty good.",""
"There must be some trouble.",""
"It's a bit heavy to wear.",""
"But we made it.",""
"That's good.",""
"Anything interesting on the news?",""
"No more than that.",""
"You know that takes time these things.",""
"What about your side?",""
"The usual criminals in the White House.",""
"Trump being an asshole.",""
"Trump being an idiot.",""
"Same ol', same ol'.",""
"OK, I must run out to the store and pick up some coffee.",""
"I'll be back soon--do you want me to pick up anything?",""
"But who's an asshole?",""
"The president of the Us?",""
"Yes--by definition.",""
"You should read the book 'Assholes: A Theory.' It's a philosopher's take on what, exactly, an asshole is, and why they are as they are, and why they so infuriate us.",""
"It was written in 2010--in other words, long before the current hell--and he talks about Trump at some length!",""
"OK, I'm outta here.",""
"Back in a bit.",""
"Why do we learn about History?",""
"But mademoiselle, history is a very important discipline.",""
"It allows you to understand the present and prepare the future as a student of the past.",""
"And then it's part of the general culture of all educated people.",""
"Not knowing the story is come from nowhere and be lost in the present.",""
"Why does school not teach us more about the negatives of debt and looking after our mental health?",""
"Every teacher specializes in discipline.",""
"I agree with you that certain subjects are not treated enough.",""
"But the story is very important.",""
"It's also in the story that we understand what democracy is, politics, the cultural identity of his country.",""
"And it doesn't fascinate you, ancient civilizations?",""
"The birth of writing?",""
"Yes I suppose it is very interesting, but it does not feel very relevant to the present",""
"Yes, it is, because the story often repeats itself.",""
"Studying the consequences of decisions that were taken in the past allows you to understand what the right decisions to make today!",""
"Let's take an example.",""
"After the first world war, the winners have decided to ask for some very high repairs in Germany.",""
"It meant a fortune.",""
"It ruined the German economy, and drove indirectly into World War II.",""
"After the second world war, the winners understood because of what it was that we didn't have to make the same mistake again.",""
"And they built Europe instead.",""
"And now we've lived in peace for 70 years in Europe.",""
"That is true.",""
"Do you think that one day in the future children will not need to learn to write with a pen and just use a computer instead?",""
"I don't think so.",""
"You'll always have to be able to write letters, sign documents...",""
"But what are you interested in?",""
"What are the subjects that seem useful to you?",""
"I am very passionate about looking after the planet",""
"And making sure that we look after it",""
"by recycling, being mindful of the ocean and finding new sources of energy",""
"Yes, they're very important subjects, you're right.",""
"Are you planning to study in this field?",""
"I would like to study more about the planet and how we can change our behaviour for the better",""
"But I also really enjoy reading and theatre",""
"You might want to start looking into which schools there are cursus that might interest you.",""
"But the environment is a very exciting and very important discipline for our future, so I encourage you in this path!",""
"Do I need a University Degree to get a job working to change the environment?",""
"Depends on what you want to do.",""
"We don't need a college degree to change his behavior daily, and to encourage people to do the same.",""
"But if you want to go further, for example in research or engineering, then you'll need skills and degrees that only higher studies can give you.",""
"If we all used computers at school it would be better for the planet!",""
"How about iPads instead of paper note books?",""
"I think my fellow students would be very happy",""
"You should look into it, because producing computers and iPads are very polluted.",""
"While paper can be produced in a way-in-the-way environment, replanting the trees.",""
"Why is producing computers and iPads very polluting?",""
"Because today, we don't know how to produce them without polluting.",""
"Electronic devices contain many toxic chemicals, for example, in the batteries, the monitors, the chips.",""
"I think about the semi-drivers, who are almost exclusively products in China, in very polluted mines.",""
"But you can talk to your physics teacher, if you're interested.",""
"I have to leave now, because the next class starts in one minute!",""
"See you next week!",""
"Thank you!",""
"Could you please wash your hands after touching your face",""
"It is vital that we maintain good hygiene",""
"You're right.",""
"I'll wash my hands right now!",""
"What do you want us to do next for tonight's menu?",""
"Great, I am pleased we have cleared the ground rules",""
"What is on the menu for tonight, do you remember?",""
"It seems to me that we should be planning an entrance with fish.",""
"Then a dish with meat, and then dessert with red fruit.",""
"Your are very good at inventing special dishes with fresh produce",""
"What shall we do with the bream?",""
"It is lovely and fresh, something simple I suggest that won't detract from the flavour",""
"What exactly do you mean, Bram, I'm not sure I understand.",""
"Bream is a small white fish, slightly like sea bass I guess",""
"Thank you for your precision.",""
"Maybe we can marinate it in lemon, and with a little olive oil?",""
"In order to serve him in the entrance, along with some fresh vegetables?",""
"I think if you fillet it, then fry it lightly and serve with a lemon and olive oil emulsion",""
"I think we could just prepare it and serve with a little seaweed as it is a starter",""
"Oh, yeah, that's a great idea!",""
"The algae will bring a small side, and it's original!",""
"There are plenty of fresh strawberries, perhaps you could start by mascerating them in sugar and some liqueur",""
"If you get those started",""
"Of course.",""
"What do you think of the healthy eating initiative that the Government are getting involved in?",""
"Maybe we could make a little lemon pie with the strawberries?",""
"Obesity in France is not such a problem as it is in England",""
"Do you think I am right about that?",""
"The object became a global problem.",""
"But with good stuff, you can make you want to eat better.",""
"Bearing that in mind I think we should leave the lemon pies and concentrate on a lighter menu",""
"You're right.",""
"Thanks for your suggestions today, good bye",""
"Excuse me.",""
"I'm trying to have a relaxing time here and I'd prefer not to be disturbed.",""
"Thank you.",""
"Okay.",""
"But it's already over an hour ago that we're here.",""
"We could go to town for a while.",""
"I've seen the town and I'm not impressed.",""
"I'd much rather just laze here in the sun and perhaps read a chapter or two of my book.",""
"I'm really getting into the story and I think it's going to become quite exciting soon.",""
"Okay, suit yourself.",""
"What is this exciting book you're reading?",""
"A detective novel?",""
"It's a kind of detective novel.",""
"The main character is a genealogist and he is trying to make sense of a family story about smugglers and a cache of gold sovereigns.",""
"That sounds like a curious story to me.",""
"I'm gonna go get my science fiction book.",""
"That's better.",""
"Would you like a drink?",""
"Gosh!",""
"I thought you weren't going to ask.",""
"I'd love an Aperol spritz.",""
"Just as a matter of interest; why is a science fiction book better?",""
"I find many of then just too far fetched to be believable.",""
"I suppose it takes all sorts to make the world!",""
"Because the history of the first men who come to Mars and find traces of a very old civilisation, it's much more interesting than your history of genealogist and treasure!",""
"As I said; it takes all sorts.",""
"My book is partly based on fact.",""
"It imagines things that might have happened to a real smuggling gang and incorporates some recent discoveries of a couple of walled-up skeletons.",""
"As far as I understand it, there is very little likelihood of an old civilisation occurring on Mars - at least not a form of life we'd recognise - there's a poor atmosphere and little water.",""
"The probability of finding ruins on Mars is indeed small.",""
"I'll give you that.",""
"That says I don't hate crime novels.",""
"Agatha Christie's for example.",""
"Have you read it?",""
"I have read some of Agatha Christie's novels.",""
"I'm not a great fan because they are rather formulaic.",""
"What I do find fascinating about her is the question of what she did when she disappeared and some people thought that she had committed suicide.",""
"Well, I'll give you 15 more minutes with your genealogist.",""
"Then we'll go to lunch.",""
"Good morning!",""
"You've seen all those ducks!",""
"I see you feed them, too... what is it?",""
"They're mallards and coots.",""
"They really like eating frozen peas",""
"But you defrost them before, right?",""
"Do they like other things?",""
"Yes, it's better to defrost them first.",""
"I think they like vegetation, but I'm not too sure what else",""
"Do you know if there is a cafe close by to here?",""
"Wait...",""
"But it's not close and I don't know if it's open on Sunday.",""
"We have to go a little longer along the pond and then roll up the river for a hundred yards.",""
"Then there's this round-point and you won't be able to miss it.",""
"I recommend the fish and chips.",""
"Even though I think their peas are frozen as well!",""
"Ah, okay.",""
"Do you know what it's called.",""
"Haha!",""
"I like fish and chips - it's a very English dish!",""
"Duck with orange sauce is a favourite of mine too.",""
"What's your favourite dish?",""
"I think it's called 'The King of the pond,' but I'm not sure.",""
"I like fish and chips a lot, but I don't eat much meat.",""
"I prefer vegetables and fish / shellfish.",""
"Ducks - I prefer them in the pond than on my plate!",""
"So you're a pescatorian?",""
"Ah ah ah... in a way yes!",""
"But now that I think about it, I think that coffee makes orange duck as well.",""
"I don't know if it's any good, you should try it!",""
"Okay I will.",""
"Are you a good cook?",""
"All this talk of food is making me hungry",""
"Yes, I understand!",""
"See you!",""
"Good evening!",""
"What do you have on the pressure?",""
"On the pressure?",""
"i don't follow.",""
"I am pretty stressed out with work at the moment.",""
"is that what you mean?",""
"No, I just wanted to ask what the beers you have on the shooter.",""
"If you have wine, I'll be fine, too.",""
"oh!",""
"sorry!",""
"we have some craft beer from West Virginia that's is quite bitter but very refreshing",""
"i wouldn't recommend the wine because we only have cask wine and it is failry awful",""
"after all, we are beer specialists",""
"Perfect!",""
"I like a lot of bitter beer.",""
"Could you pour me a pint?",""
"if you like a lot of bitter beer, may i suggest going for the full stein of Löwenbrau.",""
"a whole litre of a very drinkable beer",""
"granted, some may see it as being a rather comercial beer, but it is still a solid choice",""
"Then I'll have a whole liter!",""
"Thank you!",""
"What do you have to eat?",""
"remember, drink responsibly.",""
"to eat?",""
"let me see",""
"you're going to need something hearty to soak up all that beer",""
"it looks like you going to be having quite a big night tonight",""
"I'm still in charge!",""
"I'll take a cab.",""
"how about our burger platter.",""
"sound good?",""
"Perfect!",""
"a selection of 30 miniature burgers, each with it's own unique cheese and meat combo",""
"But I don't like onions.",""
"Do you have a burger without onions?",""
"I don't want to be difficult.",""
"we can do all of our burgers without onions if you prefer",""
"30 burger platter, hold the onions.",""
"i'll put the order through",""
"as we say, the customer is always right.",""
"Put on a lot of cheese, especially!",""
"I'm gonna need a lot of beer to pass all those burgers.",""
"Bring me another one soon.",""
"Good morning, Doctor.",""
"Good morning.",""
"Now, tell me.",""
"What's been going on?",""
"I need to talk to you.",""
"Can I sit in this chair?",""
"No, that's mine.",""
"But you can sit anywhere else.",""
"Or if you prefer, you can lie down there.",""
"Some people prefer that.",""
"Can I lie on this couch?",""
"Are you sure?",""
"I don't want to bother, he looks clean and new, I'm kind of worried about sitting on it.",""
"I don't want to ruin it.",""
"I think it would make me feel better to stand.",""
"Would you like me to take my shoes off?",""
"Notice how bad my feet feel, I don't know too much what would be best.",""
"Calm down, please.",""
"Please don't worry.",""
"Aren't you hot?",""
"Please just make yourself at home.",""
"But there's no need to panic.",""
"So, if you're feeling comfortable, what's been going on?",""
"I think my neighbors think I want to hurt them.",""
"So I'm afraid to stay at home and try to make the least noise.",""
"But it's tiring.",""
"I don't belong anywhere, you know.",""
"I'm sure there's somewhere you fit in.",""
"Have you always felt like this?",""
"I don't know.",""
"But I think it's getting harder for me in time.",""
"Plus, my new neighbors are weird.",""
"They always look at me with a strange look.",""
"I think they're listening to what I'm doing through the walls.",""
"Do you listen to them through the walls too?",""
"Oh, no, I'd be too afraid if they found out I was listening.",""
"But I still hear them.",""
"The walls aren't that thick.",""
"That's why I feel like I'm watching.",""
"But I don't have the money to move into a house.",""
"Oh, so you live in a flat at the moment?",""
"Yes, I did, didn't I tell you earlier?",""
"I'm sorry.",""
"Maybe you did.",""
"No worries.",""
"But you never had problems with the old neighbours then?",""
"She was an old person who didn't hear anything and make no noise.",""
"I didn't feel at home.",""
"Well, that will give us a good basis to start with next time.",""
"I'm afraid our time is up for today.",""
"I've got lots of other patients to see.",""
"And a blind date this lunchtime!",""
"Please sign out at reception when you leave.",""
"Okay, thanks for your time, I'm sorry I bothered you.",""
"And I'm sorry I'm always sorry...",""
"I'm sorry.",""
"Good morning, ma'am.",""
"I'm having a hard time understanding the odds.",""
"It's too complicated for me that's done only literature so far!",""
"Help me, please!",""
"Well, I am an English teacher, so I'm not sure I'll be much help...",""
"Do you not like Mr Jameson?",""
"He's your maths teacher, right?",""
"I would understand - he can sometimes come across as a bit intimidating.",""
"Start by telling me what you understand.",""
"I know you're an English teacher, but Mr. Jameson is a bully!",""
"All he does is put us down, and remind us that he's intellectually superior.",""
"I can't take it anymore, and I'm not the only one.",""
"Besides, he keeps harassing my friends.",""
"Oh dear.",""
"Maybe we need to have a proper discussion about that at some point.",""
"Have you contacted anybody about that?",""
"There is a school counsellor on site every Tuesday.",""
"That's the thing.",""
"They're plotting together in order not to let any of the information escape.",""
"Just talking to you puts me in grave danger.",""
"I really didn't know it was this serious.",""
"Don't worry, we'll do something about it.",""
"And never be too scared to talk out about it.",""
"How long has it been going on?",""
"It's been going on since we dared to tell him his course was going too fast.",""
"He's got too much ego and can't stand a contradiction.",""
"Since he's friends with the councilman, he's getting revenge.",""
"However, now that he's aware of his power, he also goes after my friends because they're girls.",""
"Now they hate me because they think it's my fault.",""
"Oh dear.",""
"This really does sound serious.",""
"I'm going to have to organise a meeting to discuss this.",""
"This needs to be sorted out quickly.",""
"I'll talk to the head and see what we can do to investigate, and I'll let you know.",""
"And don't worry, I'll do it quickly!",""
"Thank you so much!",""
"I hope he can rot in jail for the rest of his life, eaten by rats.",""
"So Germaine, how are you today?",""
"So, so, but much better than yesterday, thank you.",""
"How are you?",""
"How are those lovely grandchildren of yours?",""
"Three is it now or am I miscounting!",""
"Oh, good!",""
"It's just all these little pains, it doesn't make life easy!",""
"My grandkids are fine, the last one, Marion's daughter my second daughter, you know, just made her first steps!",""
"As a parent you're not supposed to have favourites, but Marion has been such a lovely daughter.",""
"I'm guessing her child is just as beautiful as she is.",""
"Did you bring in any photographs?",""
"Pains, don't talk to me about pains.",""
"I can barely walk these days",""
"Ah, how I understand you!",""
"It's true that Marion was always the little girl of everyone... kind of like your Oliver, wasn't she?",""
"I don't have any pictures with me, you know, the technology and I... my kids gave me a tablet, but I don't know what to do with it!",""
"For your arthritis, fortunately, you're here, right?",""
"The staff seems very caring.",""
"Oliver gave me a tablet my birthday.",""
"I use it for watching TV and reading books.",""
"He showed me how it works, but if I get stuck the girls in here will always help me.",""
"They are very kind.",""
"Ah, you must be cleverer than me then!",""
"My children often show me how to turn it on and even how to write e-mails, but...",""
"With my poor head, it's too difficult!",""
"Young people go so fast!",""
"Everything has to go fast for them...",""
"Oliver spent ages showing how to switch it on, charge it up, how to send emails.",""
"Watching YouTube, listening to the radio, they're easy.",""
"I have to get someone to download the books for me.",""
"You should really try it - you can set the font size so it's much easier for our old eyes to read the print.",""
"Well, if you say so, I'll hold on!",""
"Still, we live in crazy, crazy times!",""
"It's all happening so fast!",""
"At last!",""
"My dear Germaine, I'm going to have to leave you, I have an appointment at the rheumatologist at 3: 00!",""
"By the time we get there... as always, it's been a pleasure to see you.",""
"Good luck and do come and visit me again soon.",""
"Next time, though, bring those photographs, oh, and if you can carry them some grapes, a box of milk chocolates and the Sunday newspapers.",""
"Love to the family x",""
"go on, tell me what happened.",""
"why do you look so down in the dumps?",""
"I was fine until you saw your head.",""
"I can't stand you anymore",""
"wow.",""
"i was not expecting that.",""
"what did I do?",""
"You've seen how you talk to me you're not even able to say good night.",""
"I demand consideration and mutual respect in a marriage.",""
"With you it's always a one-way street, you get on my nerves and I realize I'll be way better away from you.",""
"how long have you been feeling like this?",""
"Why do get the impression this is the first time you've mentioned anything going wrong between us?",""
"I'm like Louis Jouvet in the children of Heaven, when he tells Arletty he needs a change of air.",""
"You remember that beautiful Marcel Carborn, we saw it in French.",""
"i have no idea what you're talking about.",""
"But, i'm going to go with you on this one and assume that it has just slipped my mind.",""
"so, yeah, sure, i remember your stupid film.",""
"it probably sucked.",""
"and that's why I can't remember it.",""
"i never liked french movies anyway.",""
"they're so introspective and boring",""
"bunch of self-centred navel gazers",""
"The exact term Atmosphera, not Air, but it's the same, I asphyxiation on your side.",""
"You're primitive, stupid, unable to grow up.",""
"At your age, living in a world of Manga and cartoons and pathetic.",""
"I need intellectual stimulation, emotional stimulation, not to live next to a retarded and pimply-faced geek who thinks only of his video games and its Manga.",""
"I did a typo: At your age living in a world of Manga and cartoons are pathetic.",""
"well look at you, Mr Fancy pants!",""
"thinking he's all that with a cherry on top.",""
"how about you get off your intellectual high-horse and get back to rality for a bit",""
"it's thanks to my manga business that i can pay for your stupid art classes where you go off for days on end to your bloody art fairs",""
"the only people buy your crappy paintings is because they feel pity for you",""
"just like your mother did when she bought your first 'portrait'...",""
"if that's what you can even call it",""
"that 'ecce homo' fiasco was better than anything you could ever do",""
"typo: the only reason people buy your crappy paintings is because they feel pity for you",""
"Of course, your high-level sexual deviations and your inability to have a satisfying erectile function that you feel obligated to be unpleasant, mean and humiliating.",""
"I need a real man who can take care of his partner, not half impotent sick who's going to be satisfied with pictures of comic books.",""
"You're already handicapped by the dimension.",""
"And don't add to it, either appearing intellectually as well as with your miserable instrument.",""
"look who's talking, Mr 6 centimetres of disappointment! 'real man', honestly.",""
"you make me sick",""
"i tried to hear you out, but you just came at me.",""
"I'm through with you.",""
"enjoy life.",""
"Hello!",""
"It's Julie!",""
"I was calling you about my birthday.",""
"You know, Saturday's Saturday party, you offered to help me with the organization.",""
"Actually, I'd like that.",""
"It's turning into a hell of a party!",""
"Great!",""
"What time do you want me to come over?",""
"Well, if we could have a date two hours before, it wouldn't be bad.",""
"We're gonna have to finish the glassware and pull the silverware and the plates.",""
"And the drinks, too.",""
"Either inside, or in the garden, depends on time.",""
"It could depend a bit on the weather.",""
"Do you know what the forecast is?",""
"Shall I bring those lovely balloons with me, and a few party poppers?",""
"Balloons, yes, why not!",""
"Weather changes every day, it's hard to predict... Sinon, so I also ordered a barrel of beer so I could get some pressure.",""
"People always like that.",""
"But I could really use some help wearing it and set it up...",""
"Have you been drinking already?",""
"A barrel of beer would be great.",""
"There are a few sailors coming along and they love barrelled beer!",""
"Shall I bring some red or white wine?",""
"Or both?",""
"Both!",""
"If there are sailors, there's gonna be a wide range on the drinks.",""
"Do you think we're gonna need rum?",""
"Rum is a must for sailors.",""
"We don't want to upset them and cause a mutiny.",""
"I love sailors...",""
"No!",""
"But we're gonna have to blackmail them.",""
"Are they in the merchant navy, or are there some pirates?",""
"Pirates are the best, especially the rum!",""
"I love sailors too.",""
"We could blackmail them into singing sea shanties!",""
"There's one I know with lots of tattoos, a patch on his eye, and a parrot on his shoulder.",""
"Maybe he is a pirate?",""
"And we'll dance!",""
"In fact, it gives me a lot of ideas about decorating and costumes!",""
"You'll have to introduce me.",""
"He has a parrot?",""
"I prefer parrots with tattoos.",""
"Well, I'm gonna take a look at the decorations and call you back before the party.",""
"Thanks for your help!",""
"And if you ever get any ideas, don't hesitate to call me back.",""
"I gotta go!",""
"Are you okay, honey?",""
"You don't look like you're in a good mood.",""
"You would not believe the day I've had.",""
"I never want to go back to work again!",""
"Everything that could go wrong went wrong.",""
"I mean I even got my hair stuck in the photocopier!",""
"Oh, you poor thing.",""
"What happened to you?",""
"Somebody came to rescue me, thankfully.",""
"But just...just everything seemed to go wrong today...",""
"I even managed to spill coffee over my boss.",""
"Who wasn't very happy.",""
"I mean it wasn't really my fault...",""
"Ouch!",""
"This is the kind of day we would've preferred not to get up in the morning.",""
"Would a little massage do you good?",""
"Or a good beer?",""
"Ah yes please!",""
"For the massage, not for the beer.",""
"Though I wouldn't mind some of the good rum.",""
"Okay for a massage and a rum.",""
"And what did your boss say?",""
"He was mad at you?",""
"After he'd finished flapping his arms around, he did say something not particularly nice - something about his new shirt.",""
"Well he couldn't really have fired for me that.",""
"But he did have a bit of a go - and in front of the entire office!",""
"It's okay, with everything he wins, he'll buy another one!",""
"And then it can happen to anyone!",""
"Anyway, your boss has always been fond of you.",""
"Really?",""
"Isn't that a bit weird?",""
"I mean he's twice my age.",""
"And that would be a bit inappropriate...",""
"Maybe that's why Pauline doesn't like me...",""
"Why do you think she doesn't love you?",""
"Aren't you a little paranoid?",""
"Allow me to point out that you are in your fifth whiskey.",""
"Is that all!",""
"I've have another double please.",""
"Could I also look at the food menu, as perhaps I should eat something?",""
"Yes, eating something with mineral water is a good idea.",""
"Here's the menu.",""
"Let me try a malt whiskey this time with an ice cube.",""
"Now, what shall I eat?",""
"Can I have a sirloin steak with french fries and a side salad?",""
"Sorry, we don't serve this dish till noon.",""
"And I suggest you only take the ice cube without the whiskey.",""
"Why, have you run out of whiskey?",""
"I'll have a bottle of beaujolais instead then.",""
"Can you serve peanuts before noon, as I'm feeling a bit peckish?",""
"I suggest you take a break from alcohol.",""
"Really!",""
"It's not even noon yet and I haven't even started.",""
"I might have to take my custom elsewhere is you're not happy to serve me.",""
"I repeat, you've already taken four whiskeys.",""
"Are you going to take the wheel on your way out?",""
"I won't be leaving you a very good review on Tripadvisor.",""
"You call yourself a bar but won't serve me.",""
"Discriminating against alcoholics!",""
"I'm not allowed to serve drunk clients.",""
"I'm not drunk, I'm still standing!",""
"But your words are inconsistent, and I can't figure out if it's in effect from the slip of the Diabla translation, or a reflection of your mental state.",""
"Haha!",""
"I'm fine, it must be the Diabla, so I'll have another whiskey please!",""
"You're still up, but I suggest you go to bed.",""
"That will be my last word.",""
"The bar round the corner will serve me without a problem. They'll be glad of my custom.",""
"Good morning, Doctor.",""
"This is the first time I've been seeing a little nervous.",""
"So, how has your week been?",""
"I'm having trouble at work.",""
"Well, you have a very challenging job being a librarian.",""
"What exactly has happened?",""
"I feel like the staff aren't too many of them.",""
"I run around all day, following orders from my boss,",""
"Last time I felt like I had a panic attack, I locked myself in the bathroom to cry.",""
"I don't know what to do, what can you advise me?",""
"First of all, I think it's important that you get adequate support, so speak to your line manager and see if they can send staff possibly from another library to help your workload.",""
"It's a situation which is presently counter productive because if you are stressed and need to take time off, it will only make the staffing situation worse.",""
"Hopefully your boss will be able to appreciate that.",""
"I can give you some anti depressants.",""
"Would you be happy with that?",""
"Yeah, I could go talk to him, but I'm afraid, he's on edge right now.",""
"Last time he didn't greet me very well.",""
"Send him to me - I need more clients!",""
"He didn't greet you well?",""
"What exactly did he do?",""
"Haha, that would be an idea.",""
"Maybe he's gonna cry in the bathroom every once in a while.",""
"We should do group therapy.",""
"He didn't give me time to explain my situation, and threw me out of his office with more work than before!",""
"I would report him to someone higher up the chain.",""
"He may be suffering himself, but bullying you needs reporting.",""
"My goodness, your work environment doesn't sound very happy and uplifting.",""
"Perhaps someone is going around putting drugs in your food.",""
"Are your catering department reliable?",""
"I must admit, when I taste the meals we serve, I ask questions...",""
"Besides, there's no time to take a nap from the workload, it's a scandal!",""
"It sounds rather suspicious to me.",""
"If you could sneak out from there, some small food samples, I can send them away to get tested.",""
"You can taste it, but I'm warning you, it's terrible.",""
"Don't worry, I wouldn't taste it myself.",""
"If my suspicions are correct, to do so, would mean coming down with depression.",""
"I can't take time off and I like being happy.",""
"Anyway, lovely to see you again, and we'll speak again when you get the samples.",""
"Goodbye!",""
"Thank you for your help, Doctor.",""
"It was a pleasure talking to you today!",""
"It's a lovely day for feeding ducks.",""
"That's true, but I like to come here even when it rains.",""
"After all, ducks eat every day!",""
"Do you come here often?",""
"My first time at this particular pond.",""
"Are you new to the neighborhood?",""
"No, I am just passing through.",""
"I have a few hours to spare before catching my train.",""
