fiha,in her,فيها
fi8a,in her,فيها
fiha,she can,فيها
fi8a,she can,فيها
fihom,in them,فيهوم
fi8om,in them,فيهوم
fihoum,in them,فيهوم
fi8oum,in them,فيهوم
fihom,they can,فيهوم
fi8om,they can,فيهوم
fihoum,they can,فيهوم
fi8oum,they can,فيهوم
fina,in us,فينا
fina,we can,فينا
noubti,my turn,نوبتي
nobti,my turn,نوبتي
noubtek,your turn,نوبتك
noubtk,your turn,نوبتك
nobtk,your turn,نوبتك
nobtek,your turn,نوبتك
noubtna,our turn,نوبتنا
nobtna,our turn,نوبتنا
noubtkom,your turn,نوبتكوم
nobtkoum,your turn,نوبتكوم
noubtkoum,your turn,نوبتكوم
noubthom,their turn,نوبتهوم
nobthoum,their turn,نوبتهوم
nobt8om,their turn,نوبتهوم
noubthom,their turn,نوبتهوم
7daya,beside me,حدايا
hdaya,beside me,هدايا
7dak,beside you,حداك
hdak,beside you,هداك
7dah,beside him,حداه
hdah,beside him,هداه
7da8,beside him,حداه
7daha,beside her,حداها
hdaha,beside her,هداها
7da8a,beside her,حداها
7dana,beside us,حدانا
hdana,beside us,هدانا
7dahom,beside them,حداهوم
7dahoum,beside them,حداهوم
7da8om,beside them,حداهوم
hdahoum,beside them,هداهوم
hakka,like this,هاكّا
hokka,like this,هوكّا
8akka,like this,هاكّا
8okka,like this,هوكّا
Safi,alright,صافي
mo7al,not sure,موحال
mou7al,not sure,موحال
mohal,not sure,موهال
mouhal,not sure,موهال
rah,in fact,راه
ra8,in fact,راه
afin,Hi,أفين
afen,Hi,أفن
afine,Hi,أفين
baraka,enough,باراكا
bllati,wait,بلّاتي
blati,wait,بلاتي
bellati,wait,بلّاتي
ballati,wait,بالّاتي
3ibadlah,people,عيبادلاه
3ibad lah,people,عيباد الله
3ibad allah,people,عيباد الله
ibadlah,people,إبادلاه
lay7fDk,thanks,لايحفضك
lay7afDek,thanks,لايحافضك
lay7fDek,thanks,لايحفضك
lay7afDak,thanks,لايحافضاك
lay7fDk,please,لايحفضك
lay7afDek,please,لايحافضك
lay7fDek,please,لايحفضك
lay7afDak,please,لايحافضاك
laykhllik,please,لايخلّيك
lah ikhellik,please,الله إخلّيك
laykhellik,please,لايخلّيك
lah ikhllik,please,الله إخلّيك
red lbal,pay attention,رد لبال
rdlbal,pay attention,ردلبال
rdd lbal,pay attention,ردّ لبال
redd lbal,pay attention,ردّ لبال
ga3,absolutely,ڭاع
ga3,whatsoever,ڭاع
darija,moroccan dialect,داريجا
ddarija,moroccan dialect,الداريجا
3awttani,again,عاوتّاني
3awdtani,again,عاودتاني
aawttani,again,اوتّاني
3awtani,again,عاوتاني
f,in,ف
ila,if,إلا
sidi,Mr,سيدي
lalla,Mme,لالّا
ssi,Mr,السي
moulay,Mr,مولاي
molay,Mr,مولاي
ah,yes,أه
lla,no,اللا
la,no,لا
3ndi,I have,عندي
aandi,I have,اندي
3endi,I have,عندي
3andi,I have,عاندي
3ndk,you have,عندك
aandak,you have,انداك
3ndk,you have,عندك
3ndo,he has,عندو
aando,he has,اندو
3endo,he has,عندو
3ndha,she has,عندها
aandha,she has,اندها
3nd8a,she has,عندها
3endha,she has,عندها
3ndna,we have,عندنا
aandna,we have,اندنا
3endna,we have,عندنا
3andna,we have,عندنا
3ndhom,they have,عندهوم
aandhom,they have,اندهوم
3nd8om,they have,عندهوم
3ndhoum,they have,عندهوم
3ndkom,you have,عندكوم
aandkom,you have,اندكوم
3endkom,you have,عندكوم
3ndkoum,you have,عندكوم
mojoud,available,موجود
mojod,available,موجود
kayn,available,كاين
gha+,will,غا+
ghayr,non,غاير
7tta,even,حتّا
htta,even,هتّا
fa9aT,only,فقط
ghir,only,غير
gher,only,غر
imkn,could,إمكن
imken,could,إمكن
yemken,could,يمكن
mazal,still,مازال
Tab3an,sure,طابعان
7sen,better,حسن
7ssen,better,حسّن
7san,better,حسان
hsen,better,هسن
yallah,let us,يالّاه
yalla8,let us,يالّاه
chi,some,شي
syyda,lady,سيّدا
syda,lady,سيدا
swa,whether,سوا
smo7at,i am sorry,سموحات
ssmo7at,i am sorry,سموحات
ssmou7at,i am sorry,سموحات
chokran,thank you,شكرا
lhajj,Mr.,لهاجّ
l7ajj,Mr.,لحاجّ
lhajja,Mrs.,لهاجّا
l7ajja,Mrs.,لحاجّا
m3llm,Mr.,معلّم
m3allam,Mr.,معالّام
m3llem,Mr.,معلّم
chrif,Mr.,شريف
chchrif,Mr.,الشريف
chrifa,Mrs.,شريفا
chchrifa,Mrs.,الشريفا
n3amasidi,Mr.,نعاماسيدي
n3amalalla,Mrs.,نعامالالّا
bS77a,cheers,بصحّا
bSe77a,cheers,بصحّا
bSa77a,cheers,بصاحّا
bS7a,cheers,بصحا
srbi,hurry,سربي
serbi,hurry,سربي
sarbi,hurry,ساربي
mazal,not yet,مازال
7bes,stop,حبس
7bs,stop,حبس
gollia,tell me,ڭولّيا
hahoa,here it is,هاهوا
hahowa,here it is,هاهو
8a8oa,here it is,هاهوا
hahia,here she is,هاهيا
hahya,here she is,هاهيا
8a8ya,here she is,هاهيا
hahoma,here they are,هاهوما
ha homa,here they are,ها هوما
8a8oma,here they are,هاهوما
ewa mohim,anyway,إوا موهيم
ewa lmohim,anyway,إوا لموهيم
yallah,just,يالّاه
b7ra,just,بحرا
be7ra,just,بحرا
ba7ra,just,باحرا
yallah,let us go,يالّاه
mchina,let us go,مشينا
ya salam,impressive,يا سلام
yasalam,impressive,ياسلام
3la brra,outside,علا برّا
3la berra,outside,علا برّا
berra,outside,برّا
brra,outside,برّا
ssfli,ground floor,السفلي
ssefli,ground floor,السفلي
machi mochkil,no worries,ماشي موشكيل
3Tini,give me,عطيني
ach glti,what did you say,أش ڭلتي
akid,sure,أكيد
2akid,sure,أكيد
wakha,ok,واخا
wa5a,ok,واخا
mamsalich,busy,مامساليش
ahlan,hello,أهلان
a8lan,hello,أهلان
2a8lan,hello,أهلان
salam,Hi,سلام
salamo3alaykom,Hello,سلاموعالايكوم
salamo3laikom,Hello,سلاموعلايكوم
mr7ba,welcome,مرحبا
mer7ba,welcome,مرحبا
mar7ba,welcome,مارحبا
merhba,welcome,مرهبا
bikhir,fine,بيخير
bi5ir,fine,بيخير
bslama,goodbye,بسلاما
beslama,goodbye,بسلاما
3afak,please,عافاك
afak,please,أفاك
eafak,please,إافاك
idan,so,إذن
blmonasaba,by the way,بلمناسبة
bl monasaba,by the way,بل مناسبة
belmounasaba,by the way,بلمناسبة
blmonaasaba,by the way,بلمناسبة
b Tabi3t l7al,of course,بطبيعة لحال
bTabi3t l7al,of course,بطابيعت لحال
b Tabi3at l7al,of course,ب طابيعات لحال
mn Tabi3t l7al,of course,من طابيعت لحال
fhemt,I get it,فهمت
f8emt,I get it,فهمت
fhmt,I get it,فهمت
f8mt,I get it,فهمت
b7al b7al,either way,بحال بحال
bhal bhal,either way,بهال بهال
b7alb7al,either way,بحالبحال
ti99en,make sure,تيقّن
ty99en,make sure,تيقّن
3la 9bli,for me,علا قبلي
3la 9ebli,for me,علا قبلي
3la 9abli,for me,علا قابلي
Thella,take care,طهلّا
T8ella,take care,طهلّا
Thela,take care,طهلا
Thalla,take care,طهالّا
bsse7!,really!,بسّح!
bSSa7!,really!,بصّاح!
beSSe7!,really!,بصّح!
jat m3ak,it suits you,جات معاك
ja m3ak,it suits you,جا معاك
jatk hia hadik,it suits you,جاتك هيا هاديك
jak hoa hadak,it suits you,جاك هو هاداك
3ll a9all,at least,علّ أقالّ
3la9all,at least,علاقالّ
3ell a9all,at least,علّ أقالّ
3ella9ell,at least,علّاقلّ
7tta fikra,no idea,حتّا فيكرا
adna fikra,no idea,أدنا فيكرا
ila akhirih,etc,إلا أخيريه
bss7,really,بسّح
bssa7,really,بصح
bssah,really,بسّاه
bsse7,really,بسّح
wah,really,واه
wa8,really,واه
wayli,really,وايلي
waili,really,وايلي
moul dar,husband,مول دار
mouldar,husband,مولدار
moulat dar,wife,مولات دار
moulatdar,wife,مولاتدار
7ass brasou,arrogant,حاسّ براسو
7ass braso,arrogant,حاسّ براسو
ch7al hada,a while ago,شحال هادا
ch7al hadi,a while ago,شحال هادي
Sba7 lkhir,good morning,صباح لخير
Sba7lkhir,good morning,صباحلخير
3la ghfla,suddenly,علا غفلا
3la ghefla,suddenly,علا غفلا
3la ghafla,suddenly,علا غافلا
msa lkhir,good evening,مسا لخير
msalkhir,good evening,مسالخير
tSb7 3la khir,good night,تصبح على خير
tSbe7 3la khir,good night,تصبح على خير
tSba7 3la khir,good night,تصباح على خير
hamdolah,thank god,الحمد لله
hamdolilah,thank god,هامدوليلةه
lhamdolah,thank god,لالحمد لله
mtchrrfin,nice to meet you,متشرّفين
metcherrfin,nice to meet you,متشرّفين
mtcharrfin,nice to meet you,متشارّفين
mtcherrfin,nice to meet you,متشرّفين
Tri9 ssalama,have a nice trip,طريق السلاما
Tri9 salama,have a nice trip,طريق سلاما
afin akhona,how are you brother,أفين أخونا
afen akhona,how are you brother,أفن أخونا
afen akhouna,how are you brother,أفن أخونا
allah iktter khirk,thank you,الله إكتّر خيرك
lah iktter khirek,thank you,الله إكتّر خيرك
la chokra 3ala wajib,you are welcome,لا شوكرا عالا واجيب
l3afw,you are welcome,لعافو
l3afow,you are welcome,لعافوو
sm7 lia,sorry,سمح ليا
sme7 lia,sorry,سمح ليا
sma7 lia,sorry,سماح ليا
maykon bas,good recovery,مايكون باس
mykon bas,good recovery,ميكون باس
maykon bass,good recovery,مايكون باسّ
allah iyesser,good luck,الله إيسّر
lah iyesser,good luck,الله إيسّر
layesser,good luck,لايسّر
mbrouk,congratulations,مبروك
mebrouk,congratulations,مبروك
mabrouk,congratulations,مابروك
mbrok,congratulations,مبروك
bS77a,your good health,بصحّا
bSS7a,your good health,بصّحا
39balik,I wish the same for you,عقباليك
3o9balik,I wish the same for you,عوقباليك
ajarakom allah,my condolences,أجاراكوم الله
ajarakoum lah,my condolences,أجاراكوم الله
ajarakom lah,my condolences,أجاراكوم الله
allah ir7mo,god have mercy on him,الله إرحمو
lah ire7mo,god have mercy on him,الله إرحمو
allah ire7mo,god have mercy on him,الله إرحمو
rdd lbal,be careful,ردّ لبال
redd lbal,be careful,ردّ لبال
redlbal,be careful,ردلبال
hadchi fchkel,this is weird,هادشي فشكل
hania,do not worry,هانيا
safi nsa,never mind,سافي نسا
mrra khra,next time,مرّا خرا
merra khra,next time,مرّا خرا
8Dra khawya,nonsense,هضرة خاويا
hdra khawya,nonsense,هدرا خاويا
wach bSS7,really,واش بصّح
wach bSSe7,really,واش بصّح
nchoufouk,see you,نشوفوك
hani jay,I will be back,هاني جاي
8ani jay,I will be back,هاني جاي
ch7al f ssa3a,what time is it,شحال ف الساعا
ch7al fsa3a,what time is it,شحال فساعا
3lach lla,why not,علاش اللا
3lach la,why not,علاش لا
wach nta,are you,واش نتا
wach t9dr,can you,واش تقدر
fkkrni,remind me,فكّرني
fekkerni,remind me,فكّرني
fakkerni,remind me,فاكّرني
ch7al dayra hadi,how much is this,شحال دايرا هادي
ch7al dayr hada,how much is this,شحال داير هادا
tfDDl,please come in,تفضّل
tfDDel,please come in,تفضّل
tfeDDel,please come in,تفضّل
tfaDDal,please come in,تفاضّال
ach kayn,what is wrong,أش كاين
ach kayen,what is wrong,أش كاين
kolla nhar,every day,كولّا نهار
kolla n8ar,every day,كولّا نهار
fink,where are you,فينك
finek,where are you,فينك
lli fat,past,اللي فات
ghayr 3adi,unusual,غاير عادي
3ndo 9ima,valuable,عندو قيما
3endo 9ima,valuable,عندو قيما
3ndo 9yma,valuable,عندو قيما
3la ghfla,sudden,علا غفلا
3la ghefla,sudden,علا غفلا
3la ghafla,sudden,علا غافلا
dyal DDo,electric,ديال الضو
makaytSenne3ch,cool,ماكايتصنّعش
Tal3 lih demm,mad,طالع ليه دمّ
w9t kaml,full-time,وقت كامل
we9t kaml,full-time,وقت كامل
wa9t kaml,full-time,واقت كامل
dyal lm3da,gastric,ديال لمعدا
dyal lme3da,gastric,ديال لمعدا
dyal lma3da,gastric,ديال لماعدا
momkin it9arn,comparable,مومكين إتقارن
momkin it9aren,comparable,مومكين إتقارن
fayt l9yas,excessive,فايت لقياس
fayet l9yas,excessive,فايت لقياس
3llmada l9aSir,short-term,علّمادا لقاصير
3la lmada l9aSir,short-term,علا لمادا لقاصير
sa8l toSl lih,accessible,ساهل توصل ليه
sahl toSl lih,accessible,ساهل توصل ليه
a9all 7edd,minimal,أقالّ حدّ
a9all 7add,minimal,أقالّ حادّ
ma3ndo a8ammia,irrelevant,ماعندو أهمّيا
ma3ndoch a8ammia,irrelevant,ماعندوش أهمّيا
3ndo a8ammia,relevant,عندو أهمّيا
3ando a8ammia,relevant,عاندو أهمّيا
ma3ndo 9ima,useless,ماعندو قيما
ma3ndoch 9ima,useless,ماعندوش قيما
ma3ndouch 9ima,useless,ماعندوش قيما
3ndo 9ima,worthy,عندو قيما
3endo 9ima,worthy,عندو قيما
3ndo zz8er,lucky,عندو الزهر
3endo zzher,lucky,عندو الزهر
3ndo zzhar,lucky,عندو الزهار
9aDi lgharad,satisfactory,قاضي الغرض
n8ar 3la n8ar,day-to-day,نهار على نهار
nhar 3la nhar,day-to-day,نهار على نهار
mchkok fih,doubtful,مشكوك فيه
mchkouk fih,doubtful,مشكوك فيه
maymknch tyye98a,incredible,مايمكنش تيّقها
maymknch tyye9ha,incredible,مايمكنش تيّقها
dayr ttaman,costly,داير التامان
mntachr bzzaf,large-scale,منتاشر بزّاف
mntacher bzzaf,large-scale,منتاشر بزّاف
t7t larD,underground,تحت لارض
te7t larD,underground,تحت لارض
ta7t larD,underground,تحت لارض
3ndo m3na,meaningful,عندو معنا
3endo ma3na,meaningful,عندو ماعنا
3ando ma3na,meaningful,عاندو ماعنا
3endo me3na,meaningful,عندو معنا
fih SSda3,noisy,فيه الصداع
fih Sda3,noisy,فيه صداع
fih DDajij,noisy,فيه الضاجيج
fih Dajij,noisy,فيه ضاجيج
fih ddajij,noisy,فيه الداجيج
3ndo lmana3a,immune,عندو لماناعا
3endo lmana3a,immune,عندو لماناعا
ma3ndo m3na,absurd,ماعندو معنا
ma3endo me3na,absurd,ماعندو معنا
ma3ndo tta m3na,absurd,ماعندو التا معنا
ma3ndo ta ma3na,absurd,ماعندو تا ماعنا
ghayr msbou9,unprecedented,غاير مسبوق
ghayr masbou9,unprecedented,غاير ماسبوق
ma3ndo taman,invaluable,ماعندو تامان
ma3ando taman,invaluable,ماعاندو تامان
9bl lwe9t,premature,قبل لوقت
9bel lwe9t,premature,قبل لوقت
9bel lwa9t,premature,قبل لواقت
mabghah 7dd,unwanted,مابغاه حدّ
mabghah 7edd,unwanted,مابغاه حدّ
mabghah tta 7dd,unwanted,مابغاه التا حدّ
mabghah tta 7edd,unwanted,مابغاه التا حدّ
khda b3in l i3tibar,consider,خدا بعين ل إعتيبار
khda b3in l3tibar,consider,خدا بعين لعتيبار
khda b 3in l3tibar,consider,خدا ب عين لعتيبار
ba3 o chra,trade,باع أُ شرا
makayn bas,no worries,ماكاين باس
ma3ndi mangol,perfect,ماعندي مانڭول
ma3nedi mangol,perfect,ماعندي مانڭول
ma3ndi mangoul,perfect,ماعندي مانڭول
dakchi 3lach,that's why,داكشي علاش
kolla ch8r,monthly,كولّا شهر
kolla ch8er,monthly,كولّا شهر
kolla ch8ar,monthly,كولّا شهار
kolla nhar,daily,كولّا نهار
kola nhar,daily,كولا نهار
kolla 3am,yearly,كولّا عام
kola 3am,yearly,كولا عام
kolla simana,weekly,كولّا سيمانا
kola simana,weekly,كولا سيمانا
kolla sa3a,hourly,كولّا ساعا
kola sa3a,hourly,كولا ساعا
kolla mrra,each time,كولّا مرّا
kola mrra,each time,كولا مرّا
mn daba chwia,soon,من دابا شوية
men daba chwia,soon,من دابا شوية
Trofa sghar,smithereens,طروفا صغار
ila l 2abad,forever,إلا ل أباد
ila l2abad,forever,إلا لأباد
ila l 2abad,forever,إلا ل أباد
aji,hey,أجي
moul,possessor of,مول
mol,possessor of,مول
fhad tawakhir,lately,فهاد تاواخير
l,the,ل
el,the,إل
al,the,أل
wa7d,a,واحد
wahd,a,واهد
wa7d,an,واحد
wahd,an,واهد
ayy,any,أيّ
akhor,another,أخور
a5or,another,أخور
jwabo 3la nabo,quick-witted,جوابو على نابو
smen o 3sel,sweet,سمن أُ عسل
bayna ll3wer,crystal clear,باينا اللعور
Darb chch3a,impressive,ضارب الشعا
Tmmer,turning a blind eye,طمّر
myyek,turning a blind eye,ميّك
ma3ndk fin t8reb,inevitable,ماعندك فين تهرب
mataymregch,unashamed,ماتايمرڭش
kayDrr f rras,controversial,كايضرّ ف الراس
sir waji,back and forth,سير واجي
3llah,randomly,عالله
charb bloulou,mature,شارب بلولو
kayna lm3na,worthwhile,كاينا لمعنا
labas 3lih,wealthy,لاباس عليه
fiha inna,suspicious,فيها إنّا
Tal3a lih l9rda,furious,طالعا ليه لقردا
S77a w slam,safe and sound,صحّا و سلام
howa howa,unchanged,هو هو
hir 3llah,arbitrary,هير عالله
fog chchb3a,superfluous,فوڭ الشبعا
3ndo fiddih,talented,عندو فيدّيه
zaz louz,nice-looking,زاز لوز
chchan TTan,quickly,الشان الطان
bi8 fi8,quickly,بيه فيه
blkheff,quickly,بلخفّ
Lah i3mmerha dar,courteous,الله إعمّرها دار
lah i3mmrha dar,he's a good man,الله إعمّرها دار
7bb o tben,the whole ball of wax,حبّ أُ تبن
kay9r9bo nnab,chew the rag,كايقرقبو الناب
9r9b nnab,chew the fat,قرقب الناب
Tal9ha,he is lying,طالقها
rbeT sslogyya,stop lying,ربط السلوڭيّا
mcha fiha,he's screwed,مشا فيها
Tal3a lia l9rda,I'm angry,طالعا ليا لقردا
Allah i3Tina wj8ek,aren't you embarrassed,الله إعطينا وجهك
lah imskhek,shame on you,الله إمسخك
Lfya9 bekri bdheb meshri,The early bird gets the worm,لفياق بكري بدهب مسهري
Li zreb t3eTel,Hurrying up too much can make you late,لي زرب تعطل
Li fat mat,The past is dead,لي فات مات
gleb stta ts3oud,Change the subject,ڭلب ستّا تسعود
Dar l3ssa frweyda,Throws a wrench into the works,ضار لعسّا فرويدا
ferge3 remmana,spills the beans,فرڭع رمّانا
hadchi msllkni,that suits me,هادشي مسلّكني
3la 7sabk,it's on you,علا حسابك
Lah i3Tik matakol,shame on you,الله إعطيك ماتاكول
3la 799o o Tri9o,properly,علا حقّو أُ طريقو
miraran wa tikraran,frequently,ميراران وا تيكراران
tania,second,تانيا
thania,second,تهانيا
d9i9a,minute,دقيقة
daqiqa,minute,دقيقة
da9i9a,minute,دقيقة
sa3a,hour,ساعا
yawm,day,ياوم
youm,day,يوم
nhar,day,نهار
lbar7,yesterday,لبارح
lbare7,yesterday,لبارح
lbareh,yesterday,لباره
lbarh,yesterday,لباره
daba,now,دابا
drok,now,دروك
lyom,today,ليوم
liom,today,ليوم
lioma,today,ليوما
lyoma,today,ليوما
ghdda,tomorrow,غدّا
ghedda,tomorrow,غدّا
ghadda,tomorrow,غادّا
wellbar7,the day before yesterday,ولّبارح
wallbare7,the day before yesterday,والّبارح
wllbare7,the day before yesterday,ولّبارح
b3d ghdda,the day after tomorrow,بعد غدّا
ba3d ghdda,the day after tomorrow,باعد غدّا
be3d ghdda,the day after tomorrow,بعد غدّا
simana,week,سيمانا
semana,week,سمانا
ch8r,month,شهر
ch8ar,month,شهار
chher,month,شهر
chhar,month,شهار
3am,year,عام
9rn,century,قرن
9arn,century,قارن
9ern,century,قرن
qarn,century,قارن
tnin,monday,تنين
ttnin,monday,التنين
tlat,tuesday,تلات
ttlat,tuesday,التلات
larb3,wednesday,لاربع
larba3,wednesday,لارباع
larbe3,wednesday,لاربع
lkhmis,thursday,لخميس
l5miss,thursday,لخميسّ
lakhmis,thursday,لاخميس
lekhmis,thursday,لخميس
jm3a,friday,جمعا
jam3a,friday,جامعا
jem3a,friday,جمعا
jjm3a,friday,الجمعة
sbt,saturday,سبت
ssbt,saturday,السبت
sabt,saturday,سابت
ssebt,saturday,السبت
l7d,sunday,لحد
l7ed,sunday,لحد
l7add,sunday,لحادّ
l7edd,sunday,لحدّ
wikand,weekend,ويكاند
lwikand,weekend,لويكاند
weekend,weekend,ويكند
lweekend,weekend,لويكند
yanayir,january,ياناير
yanayr,january,ياناير
fibrayr,february,فيبراير
fibrayer,february,فيبراير
mars,march,مارس
abril,april,أبريل
avril,april,أڤريل
may,may,ماي
yonyo,june,يونيو
yolyoz,july,يوليوز
youlyouz,july,يوليوز
ghocht,august,غوشت
chotanbir,september,شوتانبير
oktoubr,october,أُكتوبر
oktobr,october,أُكتوبر
nowanbir,november,نووانبير
dojanbir,december,دوجانبير
doujanbir,december,دوجانبير
ch8er wahd,january,شهر واهد
ch8ar wahd,january,شهار واهد
ch8r wa7d,january,شهر واحد
ch8er wa7d,january,شهر واحد
ch8er jouj,february,شهر جوج
ch8ar jouj,february,شهار جوج
ch8r jouj,february,شهر جوج
ch8er joj,february,شهر جوج
ch8er tlata,march,شهر تلاتا
ch8ar tlata,march,شهار تلاتا
ch8r tlata,march,شهر تلاتا
ch8er rb3a,april,شهر ربعا
ch8ar rb3a,april,شهار ربعا
ch8r rb3a,april,شهر ربعا
ch8er reb3a,april,شهر ربعا
ch8er khmsa,may,شهر خمسا
ch8ar khmsa,may,شهار خمسا
ch8r khmsa,may,شهر خمسا
ch8er khamsa,may,شهر خامسا
ch8er stta,june,شهر ستّا
ch8ar stta,june,شهار ستّا
ch8r stta,june,شهر ستّا
ch8er setta,june,شهر ستّا
ch8er sb3a,july,شهر سبعا
ch8ar sb3a,july,شهار سبعا
ch8r sb3a,july,شهر سبعا
ch8er seb3a,july,شهر سبعا
ch8er tmnia,august,شهر تمنيا
ch8ar tmnia,august,شهار تمنيا
ch8r tmnia,august,شهر تمنيا
ch8er tmenia,august,شهر تمنيا
ch8er ts3oud,september,شهر تسعود
ch8ar ts3oud,september,شهار تسعود
ch8r ts3oud,september,شهر تسعود
ch8er ts3eud,september,شهر تسعود
ch8er 3chra,october,شهر عشرا
ch8ar 3chra,october,شهار عشرا
ch8r 3chra,october,شهر عشرا
ch8er 3echra,october,شهر عشرا
ch8er 7Dach,november,شهر حضاش
ch8ar 7Dach,november,شهار حضاش
ch8r 7Dach,november,شهر حضاش
ch8er Tnach,december,شهر طناش
ch8ar Tnach,december,شهار طناش
ch8r Tnach,december,شهر طناش
w9t,time,وقت
wa9t,time,واقت
we9t,time,وقت
7aDir,present,حاضير
7aDer,present,حاضر
7aDr,present,حاضر
most9bal,future,موستقبال
mosta9bal,future,موستاقبال
mostaqbal,future,موستاقبال
mostqbal,future,موستقبال
maDi,past,ماضي
maaDi,past,ماضي
li fat,past,لي فات
llarob,quarter to,اللاروب
llaroub,quarter to,اللاروب
o 9sem,five past,أُ قسم
o9sem,five past,أُقسم
oqsem,five past,أُقسم
o 9smayn,ten past,أُ قسماين
o9smayn,ten past,أُقسماين
oqsmayn,ten past,أُقسماين
o rb3,quarter past,أُ ربع
orb3,quarter past,أُربع
orba3,quarter past,أُرباع
o ness,half past,أُ نص
oness,half past,أُنص
onss,half past,أُنص
onass,half past,أُناسّ
o sb3 9sam,thirty five past,أُ سبع قسام
osb39sam,thirty five past,أُسبعقسام
o sbaa qsam,thirty five past,أُ سبا قسام
o sba3 9sam,thirty five past,أُ سباع قسام
9ll toulout,twenty to,قلّ تولوت
9ll tolot,twenty to,قلّ تولوت
9ll 9smayn,ten to,قلّ قسماين
9ll9smayn,ten to,قلّقسماين
9ll 9sm,five to,قلّ قسم
9ll9sm,five to,قلّقسم
mn,since,من
men,since,من
lil,night,ليل
llil,night,الليل
lile,night,ليل
Sba7,morning,صباح
Sbah,morning,صباه
3chia,evening,عشيا
aachia,evening,اشيا
wst nhar,midday,وست نهار
wstnhar,midday,وستنهار
ftra,period,فترا
fatra,period,فاترا
fetra,period,فترا
magana,clock,ماڭانا
sa3a,clock,ساعا
monasaba,occasion,مناسبة
mounasaba,occasion,مناسبة
monaasaba,occasion,مناسبة
nssa3a,half an hour,نصاعا
nss sa3a,half an hour,نص ساعا
ness sa3a,half an hour,نص ساعا
nessa3a,half an hour,نصاعا
robo3sa3a,quarter of an hour,روبوعساعا
robo3 sa3a,quarter of an hour,روبوع ساعا
rba3 sa3a,quarter of an hour,رباع ساعا
tolotsa3a,twenty minutes,تولوتساعا
tolot sa3a,twenty minutes,تولوت ساعا
tolout sa3a,twenty minutes,تولوت ساعا
toloutsa3a,twenty minutes,تولوتساعا
t3nfij,inconvenience,تعنفيج
t3anfij,inconvenience,تعانفيج
t3enfij,inconvenience,تعنفيج
tbrziT,bother,تبرزيط
tberziT,bother,تبرزيط
tbarziT,bother,تبارزيط
ttbrziT,bother,التبرزيط
twichia,thing,تويشيا
l3iba,thing,لعيبا
l3ayba,thing,لعايبا
l3aiba,thing,لعايبا
l3amala,friend,لعامالا
tbl7is,flattery,تبلحيس
tbel7is,flattery,تبلحيس
tbal7is,flattery,تبالحيس
tbal7iss,flattery,تبالحيسّ
Tnz,mockery,طنز
Tanz,mockery,طانز
Tenz,mockery,طنز
z3fan,angry,زعفان
za3fan,angry,زاعفان
ze3fan,angry,زعفان
ka3i,angry,كاعي
l8imri,hunger,لهيمري
lhimri,hunger,لهيمري
m9rach,tea kettle,مقراش
m9raj,tea kettle,مقراج
mo9rach,tea kettle,موقراش
mo9raj,tea kettle,موقراج
3zzi,black,عزّي
3azzi,black,عازّي
3ezzi,black,عزّي
b7alma8okdaya,like this,بحالماهوكدايا
b7almahokdaya,like this,بحالماهوكدايا
kifmab7almahokdaya,like this,كيفمابحالماهوكدايا
kifmab7alma8okdaya,like this,كيفمابحالماهوكدايا
Tbbouzi,fat,طبّوزي
Tbozi,fat,طبوزي
Tabozi,fat,طابوزي
Tebbozi,fat,طبّوزي
tkhrbi9,nonsense,تخربيق
tkharbi9,nonsense,تخاربيق
tkherbi9,nonsense,تخربيق
tkharbiq,nonsense,تخاربيق
3zwa,man,عزوا
3zawi,man,عزاوي
kbchlaba9ich,fill my cup,كبشلاباقيش
kobchlaba9ich,fill my cup,كوبشلاباقيش
kobbchlabaqich,fill my cup,كوبّشلاباقيش
kobbchlaba9ich,fill my cup,كوبّشلاباقيش
law3lm,i do not know,لاوعلم
llaw3lm,i do not know,اللاوعلم
laho3lm,i do not know,لاهوعلم
lahoa3lam,i do not know,لاهواعلام
lay3miha lik,i warn you,لايعميها ليك
brbbi,i swear,بربّي
brebbi,i swear,بربّي
brabbi,i swear,برابّي
awdi,whatever,أودي
awddi,whatever,أودّي
awdi,anyway,أودي
awddi,anyway,أودّي
kimma kan l7al,anyway,كيمّا كان لحال
kimmakan l7al,anyway,كيمّاكان لحال
kima kan l7al,anyway,كيما كان لحال
kimakan l7al,anyway,كيماكان لحال
bz9oul,child,بزقول
bz9ol,child,بزقول
bez9ol,child,بزقول
baz9ol,child,بازقول
chwikkik,a bit,شويكّيك
chwia,a bit,شوية
T8lla,bye,طهلّا
Thalla,bye,طهالّا
T8alla,bye,طهالّا
T8ella,bye,طهلّا
3rram,many,عرّام
3erram,many,عرّام
3arram,many,عرّام
ewa,well,إوا
fchkl,special,فشكل
fchkel,special,فشكل
fchkal,special,فشكال
fchkeel,special,فشكيل
fchkl,peculiar,فشكل
fchkel,peculiar,فشكل
fchkal,peculiar,فشكال
fchkeel,peculiar,فشكيل
gharib,weird,غاريب
sghikkrin,tiny,سغيكّرين
tfrnisa,smile,تفرنيسا
tfernisa,smile,تفرنيسا
tfarnisa,smile,تفارنيسا
bz9oul,baby,بزقول
bz9ol,baby,بزقول
br8och,kid,برهوش
bar8ouch,kid,بارهوش
barhouch,kid,بارهوش
barhoch,kid,بارهوش
tbznisa,deal,تبزنيسا
tbeznisa,deal,تبزنيسا
